X,Y,WARD,PARCEL,PID_LONG,WPD,BATCH,SHAPE_area,SHAPE_len,Project_ID,Perm_type,Have_it,Year_TAPA,PID,Permit_ID,Proj_nam,MAL,MAL2,MAL3,MAL4,MAL5,MAL6,MAL7,Lot_Type,Add_Space,Ex__Spaces,Perm_space,Gen_Park,Rest_Park,Land_Use,_land_sqft,bldg_Sqft,Units,ManCo,ManAd,ManCon,DevName,DevName2,DevAddy,DevAddy2,Par_own,Own_Addy,Cost_Hour,Cost_day,Cost_mon,Op_hours,Op_days,Lease_Own,Park_type,Lev_grade,Entry,An_report,APCC_perm,Space_coun,Paper_rec,E_file,APCC_Notes,Issue_date,Mod_date,Mod_date2,Mod_date3,2010_Freez,2010_Exem,2010_Excl,2010_Tot,Comments,User_Group,Ut_rates,Use_Notes,Mon_Pass,Agreements,Valet,1977_PuL,1977_PuG,1977_PriL,1977_PriG,BAPCC_PuL,BAPCC_PuG,BAPCC_PrL,BAPCC_PrG,1991_PuL,1991_PuG,1991_PrL,1991_PrG,Elec_Veh,Car_van,C_V_Desc,Ped_Path,Incentives,Outlets,Out_Dets,bike_space,Bike_Short,Bike_long,Low_Em,MASS_Ride,Match,Joint,Guarantee,Sub_T_Pass,Sub_Desc,TMA,CommuteWor,Moto_Scoot,T_Pass_Sal,Trans_Coor,Ped_Prog,Shut_bus,Cash_out,prom_mats,Show_facs,Unb_Park,Car_share,Car_share2,Notes,Fenway,Perm_Summ,OBJECTID,_Freez,_Exem,_Excl,_Tot,_PuL,_PuG,_PriL,_PriG,_PuL_1,_PuG_1,_PrL,_PrG,No_2010_AP,Shape_Leng,y_n_bike,TOT_Space,Note,Proj_nam_1,TYPE,LOC_ID,Proj_nam_2,PARCEL_1,PID_LONG_1,WPD_1,PID_1,TOTAL_COM_,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking Typology (use dropdown)
-71.05998908275366,42.353118476347355,3,4520,0304520000,03-08-297,0,36557.93460950000,798.02534580000,00154,APCC,,,0304520000,711,NSTAR SERVICES LOT,0 Chauncy St,,,,,,,,,30,30,30.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,711,,,,n/a,n/a,,,,30,0,,30,"Granted by APCC June 27, 2001",,,,,,,,,,,30,0,0,0,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,30.00000000000,,NSTAR SERVICES LOT,Commercial,A00154,NSTAR SERVICES LOT,4520,0304520000,03-08-297,0304520000,30.000000,Kevin Kusina,30,Surface Parking
-71.052173007687074,42.356159046630523,3,4071,0304071000,03-06-410,0,46691.51955960000,1087.18367393000,00128,"TAPA, APCC",,,0304071000,,INTERNATIONAL PLACE,90 Oliver St,,,,,,,lot,,60,60,60.000000,0.000000,"office, retail",,"750,000",,,,,"Fort Hill Square Phase 2 Associates, c/o The Chiofaro Company",,"Suite 406, One International Place, Boston, Massachusetts 02110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,60,,,,50,,,,,Y,0.000000,,,,,0.000000,,,,,Y,,,Limited Time,first 6 months at 10% discount,,,,Y,Y,,,,Y,,,,0.000000,International Place not recognized but this is where the property is.,,1,0,,,,,,,,,,,,,,0.00000000000,,60.00000000000,,INTERNATIONAL PLACE,Mixed,A00128,INTERNATIONAL PLACE,4071,0304071000,03-06-410,0304071000,50.000000,Kevin Kusina,60,Below Grade (building on top)
-71.059262431207387,42.362679387919606,3,2700,0302700000,03-06-090,0,180692.39021400001,1915.78528866000,00067,APCC,,,0302700000,,Government Center and City Hall Garage,50 new sudbury st,,,,,,,Garage and lot,,2504,2504,2421.000000,83.000000,,,,,,,,"Nancy Decker, Goulston & Storrs",,"400 Atlantic Avenue, Boston, MA 02110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865,,60,,1865,,60,,2421,16,67,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,3,0,,,,,,,,,,,,,,0.00000000000,,2504.00000000000,,Government Center and City Hall Garage,Mixed,A00067,Government Center and City Hall Garage,2700,0302700000,03-06-090,0302700000,2504.000000,Kevin Kusina,2504,Below Grade (building on top)
-71.061655146006359,42.36382821718724,3,1675,0301675000,03-06-020,0,18507.47982960000,540.00751890800,00047,APCC,Y,,0301675000,619,101 MERRIMAC ST GARAGE,101 Merrimac St,,,,,,,,,70,,0.000000,0.000000,,,,,,,,"H.N Gorin Inc, 75/101 Federal Street",,"75 Federal Street, Boston MA 02110",,,,,,,,,,,,,,619,,Y,Y,n/a,7/1/1989,,,,70,0,,70,,Residents,,"Time limits: 6am-6pm M-F, and S-Su 24 hours",,,,,,,,22,0,0,0,12,0,0,0,,Y,0.000000,,,,,0.000000,,Yes,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,70.00000000000,,101 MERRIMAC ST GARAGE,Commercial,A00047,101 MERRIMAC ST GARAGE,1675,0301675000,03-06-020,0301675000,70.000000,Kevin Kusina,70,Below Grade (building on top)
-71.059902102190279,42.363246592432482,3,1628,0301628000,03-06-030,0,4159.65174516000,265.67285516100,00042,APCC,Y,,0301628000,812,Green Charge and Park,150-158 Friend St,,,,,,,,,24,24,0.000000,0.000000,,,,,,,,Dinosaur Capital Partners LLC on behalf of Exxon Mobil Oil Corp.,,"101 Huntington Avenue, 9th Floor, Boston, MA 02199",,,,,,,,,,,,,,812,,Y,Y,n/a,11/16/2010,,,,24,,,24,,General public,,,,,,,,,,,,,,,,,,,,0.000000,,,Y,6,9.000000,,"9 spaces, solar powered lighting",,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,Y,24.00000000000,,Green Charge and Park,Commercial,A00042,Green Charge and Park,1628,0301628000,03-06-030,0301628000,24.000000,Kevin Kusina,24,Surface Parking
-71.057108957270628,42.358341279119692,3,3884,0303884000,03-06-190,0,2322.41869082000,192.92761854200,00116,APCC,Y,,0303884000,714,FIDELITY PROPERTIES,50-54 Devonshire St,,,,,,,,,2,2,0.000000,2.000000,,,,,,,,"Timothy Culver, Peabody & Arnold",,"50 Rowes Wharf, Boston, MA 02110",,,,,,,,,,,,,,714,,Y,Y,Not a,01/091996,,,,,2,0,2,,Security vehicles,,Two security vehicles by Fidelity Properties to serve their facilities.,,,,,,,,0,0,0,9,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,2.00000000000,,FIDELITY PROPERTIES,Exempt,A00116,FIDELITY PROPERTIES,3884,0303884000,03-06-190,0303884000,2.000000,Kevin Kusina,2,Surface Parking
-71.071565406851306,42.352295351899102,5,1253,0501253000,05-06-060,0,5666.99904579000,320.29133057800,00311,APCC,,,0501253000,235,RITZ CARLTON HOTEL,4 Newbury St,,,,,,,,,0,130,0.000000,130.000000,,,,,,,,,,,,,,,,,,,,,,,,235,,Y,,n/a,n/a,,,,,,,0,,,,,,,,49,0,0,0,0,0,0,130,0,0,0,130,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,130.00000000000,,RITZ CARLTON HOTEL,Exempt,A00311,RITZ CARLTON HOTEL,1253,0501253000,05-06-060,0501253000,130.000000,Kevin Kusina,130,Below grade (no structure on top)
-71.053358423922745,42.358060281362825,3,3998,0303998000,03-06-570,0,17556.82793710000,698.15907819500,00122,"TAPA, APCC
",,,0303998000,,20-21 Custom House St,20 Custom House St,,,,,,,open,,78,77,0.000000,77.000000,"Residential, commercial",,,,,,,Jaymont Properties Incorporated,,"260 Franklin Street, Suite 2250, Boston, MA 02110",,,,,,,,,,,,,,,,,,,,,,,,78,,78,,,,,,,,,,,,,,,23,,,,69,,Y,0.000000,,,,,0.000000,N,Y,,,CARAVAN,Y,,,,,,,Y,Y,Y,,,Y,,Y,,0.000000,54 Broad St online and in MAL list,,1,0,,,,,,,,,,,,,,0.00000000000,Y,77.00000000000,,20-21 Custom House St,Exempt,A00122,20-21 Custom House St,3998,0303998000,03-06-570,0303998000,78.000000,Kevin Kusina,77,Below Grade (building on top)
-71.083128468588171,42.348812528050061,5,3134,0503134000,05-08-060,0,16249.14984000000,513.04650777300,00327,APCC,Y,,0503134000,47,INGALLS BUILDING,855 Boylston St,,,,,,,Covered,,29,29,0.000000,29.000000,,,,,,,,"John A. Kessler, Jr., Gaston Snow & Ely Bartlett",,"One Federal Street, Boston, MA 02110",,,,,,,,,,,Underground,,,47,,Y,Y,n/a,8/27/1985,,,,0,29,,29,,,,,,,,,,,,0,0,0,29,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,29.00000000000,,INGALLS BUILDING,Exempt,A00327,INGALLS BUILDING,3134,0503134000,05-08-060,0503134000,29.000000,Kevin Kusina,29,Below Grade (building on top)
-71.055149957679816,42.367199690244448,3,2161,0302161000,03-02-060,0,21167.01297950000,599.23255188300,00059,APCC,,,0302161000,41,MICHAEL ANGELO SCHOOL LOT,64-84 Charter St,,,,,,,,,0,10,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,41,,,,n/a,n/a,,,,,,,0,,,,,,,,0,0,10,0,0,0,10,0,0,0,10,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,10.00000000000,,MICHAEL ANGELO SCHOOL LOT,Exempt,A00059,MICHAEL ANGELO SCHOOL LOT,2161,0302161000,03-02-060,0302161000,10.000000,Kevin Kusina,10,Surface Parking
-71.054018961360995,42.356003885706073,3,4134,0304134000,03-06-510,0,74532.04311750000,1110.19714071000,00130,APCC,,,0304134000,,WOOLWORTH GARAGE,209-245 Franklin St,,,,,,,Underground,,1127,1127,1127.000000,0.000000,,,,,,,,"Katy Durham, Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",,"One Financial Center, Boston, MA 02111",,,,,,,,,,Valet,Two-levels,,,,,,,,,,,,200,37,,237,,,,,,,,,1100,,,,1100,,,,1090,,,,,0.000000,,,,,24.000000,Yes,24,,,,,,Y,,,,,,Y,,,,Y,,,Y,25.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,Y,1127.00000000000,,WOOLWORTH GARAGE,Mixed,A00130,WOOLWORTH GARAGE,4134,0304134000,03-06-510,0304134000,237.000000,Kevin Kusina,1127,Below Grade (building on top)
-71.058728395375297,42.352851890580979,3,4246-10,0304246010,03-08-300,0,71482.16613010000,1244.87625751000,00136,"TAPA, Amendment, APCC",,,0304246010,,ONE LINCOLN ST GARAGE,1 Lincoln St,,,,,,,Garage,900,955,955,320.000000,635.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,635,,955,,,,,,,,,735,,,185,255,,635,183,110,,,,Y,0.000000,Y,,,,0.000000,,Y,,,Y,,Y - for ridesharing employees,Y,20%,,,,Y,Y,,,,Y,,,,0.000000,Wasn't built - see amaendment T173.2,,2,0,,,,,,,,,,,,,,0.00000000000,,955.00000000000,,ONE LINCOLN ST GARAGE,Mixed,A00136,ONE LINCOLN ST GARAGE,4246-10,0304246010,03-08-300,0304246010,955.000000,Kevin Kusina,955,Below Grade (building on top)
-71.052632955403894,42.357993579137123,3,3988,0303988000,03-06-560,0,11058.13800400000,428.27316626300,00120,APCC,,,0303988000,643,21 CUSTOM HOUSE ST GARAGE,21 CUSTOM HOUSE ST,,,,,,,,,0,40,0.000000,40.000000,,,,,,,,,,,,,,,,,,,,,,,,643,,Y,,n/a,n/a,,,,,,,0,,,,,,,,,,,,0,0,0,42,0,0,0,40,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,40.00000000000,,21 CUSTOM HOUSE ST GARAGE,Exempt,A00120,21 CUSTOM HOUSE ST GARAGE,3988,0303988000,03-06-560,0303988000,40.000000,Kevin Kusina,40,Below Grade (building on top)
-71.052831646069976,42.357718737751533,3,3990-10,0303990010,03-06-560,0,11941.51965230000,445.49876407900,00121,"TAPA, APCC",,,0303990010,,80 Broad,80 Broad St,,,,,,,garage,,118,118,30.000000,88.000000,"Residential, ground retail",,"135,000",96,,,,Broad / Franklin Development Trust,,"72 Broad Street, Boston, MA 02110",,,,,,,,,,Valet,3 levels - below grade,,,,,,,,,,,,30,88,,118,,,,,,,,30,,,,30,,,,31,,,,,,0.000000,,,,,22.000000,1 rack,20,,,will encourage employers,,,,,Y - Artery Business committee,,,,Y - management employee,,,,Y,,,Y,1.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,Y,118.00000000000,,80 Broad,Mixed,A00121,80 Broad,3990-10,0303990010,03-06-560,0303990010,118.000000,Kevin Kusina,118,Below Grade (building on top)
-71.06065623399536,42.364681530309817,3,1607,0301607000,03-06-010,0,4094.84705847000,259.83729652200,00040,APCC,,,0301607000,715,CANAL STREET LOT,126-134 Canal St,,,,,,,,,25,25,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,715,,Y,,n/a,n/a,,,,,25,0,25,"Exempt spaces open to public after 5 PM, Mon-Sat",,,,,,,,,,,0,0,25,0,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,25.00000000000,,CANAL STREET LOT,Exempt,A00040,CANAL STREET LOT,1607,0301607000,03-06-010,0301607000,25.000000,Kevin Kusina,25,Surface Parking
-71.060116611441728,42.359094410241326,3,2717,0302717000,03-06-145,0,24421.15433690000,717.32473402200,00068,APCC,,,0302717000,66,CENTER PLAZA GARAGE,3 Center Plz,,,,,,,,,0,586,586.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,66,,Y,,n/a,n/a,,,,,,,0,,,,,,,,0,580,0,0,0,586,0,0,0,586,0,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,586.00000000000,,CENTER PLAZA GARAGE,Commercial,A00068,CENTER PLAZA GARAGE,2717,0302717000,03-06-145,0302717000,586.000000,Kevin Kusina,586,Below Grade (building on top)
-71.056821577101616,42.354971401835712,3,4199,0304199000,03-06-485,0,23338.72473710000,690.36929442700,00133,APCC,Y,,0304199000,635,101 FEDERAL ST GARAGE,101 Federal St,,,,,,,,,195,195,40.000000,155.000000,,,,,,,,"Franklin Federal Partners, c/o Himmel MKDG",,"Four Copley Place, Boston, MA 02116",,,,,,,,,,,,,,635,,Y,Y,n/a,4/2/1985,,,,40,155,,195,,"General public, employees",,,,,,,,,,,,,,0,0,20,0,,Y,0.000000,,,,,0.000000,,Yes,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,195.00000000000,,101 FEDERAL ST GARAGE,Mixed,A00133,101 FEDERAL ST GARAGE,4199,0304199000,03-06-485,0304199000,195.000000,Kevin Kusina,195,Below Grade (building on top)
